Index,recession_score,military_score,pandemic_score
1996-11-30,0.018180791265625003,-0.02972202996412913,0.0
1996-12-31,-0.0906868962745098,0.06658779382705689,0.0
1997-01-31,-0.11407205410169491,0.0,0.0
1997-02-28,-0.04182079992753623,0.0,
1997-03-31,0.07959427336666665,0.0,0.0
1997-04-30,0.04563577646511628,-0.26022348801294964,0.0
1997-05-31,0.05195215597916666,0.08733674458095006,
1997-06-30,-0.06895376311111111,-0.08683406561613083,-0.44652891159057617
1997-07-31,-0.038349902442307696,-0.13402561098337173,-0.46456360816955566
1997-08-31,0.055672196256410254,-0.3092761993408203,
1997-09-30,-0.08141160633870967,-0.0732738624016444,-0.7155559062957764
1997-10-31,-0.16050991751612903,0.1502359390258789,
1997-11-30,-0.12821362060714286,0.043971651130252414,0.10423072576522827
