Year,Commodity,Type,value
2003,Biofuels and waste,Final consumption,32132790.1917615
2003,Biofuels and waste,Primary production,38082126.2979329
2003,Biofuels and waste,Transformation,-5610112.41792003
2003,Coal,Final consumption,27488048.7219181
2003,Coal,Primary production,111656444.218296
2003,Coal,Transformation,-83891266.119939
2003,Electricity and heat,Final consumption,61873676.4759556
2003,Electricity and heat,Primary production,12017429.54464
2003,Electricity and heat,Transformation,61323793.6732424
2003,Natural Gas,Final consumption,48500500.1430771
2003,Natural Gas,Primary production,93511219.370058
2003,Natural Gas,Transformation,-34849150.5777579
2003,Oil,Final consumption,126126519.702522
2003,Oil,Primary production,161871882.171912
2003,Oil,Transformation,-14115870.1667997
2004,Biofuels and waste,Final consumption,32808523.5127635
2004,Biofuels and waste,Primary production,39177622.4636295
2004,Biofuels and waste,Transformation,-6026401.00166231
2004,Coal,Final consumption,30560904.1263873
2004,Coal,Primary production,117212294.805343
2004,Coal,Transformation,-85505805.3600478
2004,Electricity and heat,Final consumption,63175270.7782796
2004,Electricity and heat,Primary production,12795928.30808
2004,Electricity and heat,Transformation,63522086.5588788
2004,Natural Gas,Final consumption,49096137.3896637
2004,Natural Gas,Primary production,96712992.8254827
2004,Natural Gas,Transformation,-36678054.9388833
2004,Oil,Final consumption,131080619.103715
2004,Oil,Primary production,167013086.431854
2004,Oil,Transformation,-13806357.9364883
2005,Biofuels and waste,Final consumption,33583240.3318784
2005,Biofuels and waste,Primary production,40269176.8732165
2005,Biofuels and waste,Transformation,-6349297.77540638
2005,Coal,Final consumption,33322735.6525281
2005,Coal,Primary production,125355465.76501
2005,Coal,Transformation,-89823298.7537108
2005,Electricity and heat,Final consumption,65605392.701398
2005,Electricity and heat,Primary production,13394813.4518688
2005,Electricity and heat,Transformation,66087242.496888
2005,Natural Gas,Final consumption,49423696.0385049
2005,Natural Gas,Primary production,99572854.2263208
2005,Natural Gas,Transformation,-38056189.5854586
2005,Oil,Final consumption,131484691.373335
2005,Oil,Primary production,168186024.462874
2005,Oil,Transformation,-13989084.0364147
2006,Biofuels and waste,Final consumption,34429517.4534888
2006,Biofuels and waste,Primary production,41361389.500416
2006,Biofuels and waste,Transformation,-6562503.98569607
2006,Coal,Final consumption,35696476.6147926
2006,Coal,Primary production,132740974.689028
2006,Coal,Transformation,-95016728.8148621
2006,Electricity and heat,Final consumption,68350581.4931976
2006,Electricity and heat,Primary production,13951324.2432824
2006,Electricity and heat,Transformation,68703087.808714
2006,Natural Gas,Final consumption,50637524.0302746
2006,Natural Gas,Primary production,102785125.5491
2006,Natural Gas,Transformation,-39484190.0731014
2006,Oil,Final consumption,132996909.063172
2006,Oil,Primary production,169725260.831654
2006,Oil,Transformation,-12993330.6574069
2007,Biofuels and waste,Final consumption,35326468.1636121
2007,Biofuels and waste,Primary production,42831021.9570963
2007,Biofuels and waste,Transformation,-7011183.54384209
2007,Coal,Final consumption,38256019.8047553
2007,Coal,Primary production,138267184.809754
2007,Coal,Transformation,-98959738.7601504
2007,Electricity and heat,Final consumption,70968985.7716784
2007,Electricity and heat,Primary production,14338174.5058628
2007,Electricity and heat,Transformation,71021154.0077784
2007,Natural Gas,Final consumption,52058955.352374
2007,Natural Gas,Primary production,104750797.505738
