Region Name,Sub-region Name,Year,Source38,Electricity
Africa,Sub-Saharan Africa,1994,"Solar, wind and other sources",271.4
Africa,Sub-Saharan Africa,1995,Biofuels and waste,720.6
Africa,Sub-Saharan Africa,1995,Coal,181783.6
Africa,Sub-Saharan Africa,1995,Hydro,48281.7864
Africa,Sub-Saharan Africa,1995,Natural gas,7895
Africa,Sub-Saharan Africa,1995,Nuclear,11301
Africa,Sub-Saharan Africa,1995,Oil,9729.34366644444
Africa,Sub-Saharan Africa,1995,"Solar, wind and other sources",302.3
Africa,Sub-Saharan Africa,1996,Biofuels and waste,830.4
Africa,Sub-Saharan Africa,1996,Coal,191387.8
Africa,Sub-Saharan Africa,1996,Hydro,50168.2358
Africa,Sub-Saharan Africa,1996,Natural gas,8997
Africa,Sub-Saharan Africa,1996,Nuclear,11775
Africa,Sub-Saharan Africa,1996,Oil,9984.32199988889
Africa,Sub-Saharan Africa,1996,"Solar, wind and other sources",405.1
Africa,Sub-Saharan Africa,1997,Biofuels and waste,977.1
Africa,Sub-Saharan Africa,1997,Coal,199236.1
Africa,Sub-Saharan Africa,1997,Hydro,51652.2175
Africa,Sub-Saharan Africa,1997,Natural gas,12591
Africa,Sub-Saharan Africa,1997,Nuclear,12647
Africa,Sub-Saharan Africa,1997,Oil,7635.30544433333
Africa,Sub-Saharan Africa,1997,"Solar, wind and other sources",383.2
Africa,Sub-Saharan Africa,1998,Biofuels and waste,1131.4
Africa,Sub-Saharan Africa,1998,Coal,194278.2
Africa,Sub-Saharan Africa,1998,Hydro,54197.9458
Africa,Sub-Saharan Africa,1998,Natural gas,11869
Africa,Sub-Saharan Africa,1998,Nuclear,13601
Africa,Sub-Saharan Africa,1998,Oil,9511.48844344445
Africa,Sub-Saharan Africa,1998,"Solar, wind and other sources",415.6
Africa,Sub-Saharan Africa,1999,Biofuels and waste,1164.4
Africa,Sub-Saharan Africa,1999,Coal,192904.3
Africa,Sub-Saharan Africa,1999,Hydro,57890.2744
Africa,Sub-Saharan Africa,1999,Natural gas,13067
Africa,Sub-Saharan Africa,1999,Nuclear,12837
Africa,Sub-Saharan Africa,1999,Oil,10787.0100002222
Africa,Sub-Saharan Africa,1999,"Solar, wind and other sources",417.8
Africa,Sub-Saharan Africa,2000,Biofuels and waste,1524.4
Africa,Sub-Saharan Africa,2000,Coal,199597.5
Africa,Sub-Saharan Africa,2000,Hydro,61436.3487
Africa,Sub-Saharan Africa,2000,Natural gas,12403.3
Africa,Sub-Saharan Africa,2000,Nuclear,13010
Africa,Sub-Saharan Africa,2000,Oil,11407.1477777778
Africa,Sub-Saharan Africa,2000,"Solar, wind and other sources",460.7
Africa,Sub-Saharan Africa,2001,Biofuels and waste,1573.2
Africa,Sub-Saharan Africa,2001,Coal,202717.5
Africa,Sub-Saharan Africa,2001,Hydro,66664.6627
Africa,Sub-Saharan Africa,2001,Natural gas,13002.777778
Africa,Sub-Saharan Africa,2001,Nuclear,10719
Africa,Sub-Saharan Africa,2001,Oil,11843.5802224444
Africa,Sub-Saharan Africa,2001,"Solar, wind and other sources",495.43
Africa,Sub-Saharan Africa,2002,Biofuels and waste,1949.666667
Africa,Sub-Saharan Africa,2002,Coal,208465.7
Africa,Sub-Saharan Africa,2002,Hydro,71351.3031
Africa,Sub-Saharan Africa,2002,Natural gas,17270
Africa,Sub-Saharan Africa,2002,Nuclear,11991
Africa,Sub-Saharan Africa,2002,Oil,12282.0378891111
Africa,Sub-Saharan Africa,2002,"Solar, wind and other sources",399.55
Africa,Sub-Saharan Africa,2003,Biofuels and waste,1938.066667
Africa,Sub-Saharan Africa,2003,Coal,223647.7
Africa,Sub-Saharan Africa,2003,Hydro,69594.373
Africa,Sub-Saharan Africa,2003,Natural gas,16500
Africa,Sub-Saharan Africa,2003,Nuclear,12663
Africa,Sub-Saharan Africa,2003,Oil,12331.0724441111
Africa,Sub-Saharan Africa,2003,"Solar, wind and other sources",799.67
Africa,Sub-Saharan Africa,2004,Biofuels and waste,2100.666667
Africa,Sub-Saharan Africa,2004,Coal,232964.1
Africa,Sub-Saharan Africa,2004,Hydro,75692.495
Africa,Sub-Saharan Africa,2004,Natural gas,20750
Africa,Sub-Saharan Africa,2004,Nuclear,13365
Africa,Sub-Saharan Africa,2004,Oil,12644.4303338889
Africa,Sub-Saharan Africa,2004,"Solar, wind and other sources",1002.524
Africa,Sub-Saharan Africa,2005,Biofuels and waste,2069.166667
Africa,Sub-Saharan Africa,2005,Coal,236573.785
Africa,Sub-Saharan Africa,2005,Hydro,76588.9033
Africa,Sub-Saharan Africa,2005,Natural gas,21603
Africa,Sub-Saharan Africa,2005,Nuclear,11293
Africa,Sub-Saharan Africa,2005,Oil,14073.901778
Africa,Sub-Saharan Africa,2005,"Solar, wind and other sources",1042.494
Africa,Sub-Saharan Africa,2006,Biofuels and waste,2865.666667
Africa,Sub-Saharan Africa,2006,Coal,243401.032
Africa,Sub-Saharan Africa,2006,Hydro,79623.9018
Africa,Sub-Saharan Africa,2006,Natural gas,22768
Africa,Sub-Saharan Africa,2006,Nuclear,10026
Africa,Sub-Saharan Africa,2006,Oil,17459.5037772222
Africa,Sub-Saharan Africa,2006,"Solar, wind and other sources",1094.57
Africa,Sub-Saharan Africa,2007,Biofuels and waste,2268.966667
Africa,Sub-Saharan Africa,2007,Coal,252378.06
Africa,Sub-Saharan Africa,2007,Hydro,79800.1214
Africa,Sub-Saharan Africa,2007,Natural gas,22735.222222
Africa,Sub-Saharan Africa,2007,Nuclear,11317
Africa,Sub-Saharan Africa,2007,Oil,18903.1264442222
Africa,Sub-Saharan Africa,2007,"Solar, wind and other sources",1048.863
Africa,Sub-Saharan Africa,2008,Biofuels and waste,2309.56666666667
Africa,Sub-Saharan Africa,2008,Coal,246216.603
Africa,Sub-Saharan Africa,2008,Hydro,81909.01
Africa,Sub-Saharan Africa,2008,Natural gas,21914
Africa,Sub-Saharan Africa,2008,Nuclear,13004
Africa,Sub-Saharan Africa,2008,Oil,17448.3112217778
Africa,Sub-Saharan Africa,2008,"Solar, wind and other sources",1135.557
Africa,Sub-Saharan Africa,2009,Biofuels and waste,2200.76666666667
Africa,Sub-Saharan Africa,2009,Coal,237251.2
Africa,Sub-Saharan Africa,2009,Hydro,83012.064
Africa,Sub-Saharan Africa,2009,Natural gas,22451.222222
Africa,Sub-Saharan Africa,2009,Nuclear,12806
Africa,Sub-Saharan Africa,2009,Oil,19144.3124443333
Africa,Sub-Saharan Africa,2009,"Solar, wind and other sources",1422.849
Africa,Sub-Saharan Africa,2010,Biofuels and waste,2427.09666666667
Africa,Sub-Saharan Africa,2010,Coal,248012.522
Africa,Sub-Saharan Africa,2010,Hydro,89509.135
Africa,Sub-Saharan Africa,2010,Natural gas,29548.811111
Africa,Sub-Saharan Africa,2010,Nuclear,12099
Africa,Sub-Saharan Africa,2010,Oil,18904.3301108889
Africa,Sub-Saharan Africa,2010,"Solar, wind and other sources",1662.024
Africa,Sub-Saharan Africa,2011,Biofuels and waste,2136.20666666667
Africa,Sub-Saharan Africa,2011,Coal,249268
Africa,Sub-Saharan Africa,2011,Hydro,91754.312
Africa,Sub-Saharan Africa,2011,Natural gas,33181.2188893333
Africa,Sub-Saharan Africa,2011,Nuclear,13502
Africa,Sub-Saharan Africa,2011,Oil,17933.8500152222
Africa,Sub-Saharan Africa,2011,"Solar, wind and other sources",1625.505
Africa,Sub-Saharan Africa,2012,Biofuels and waste,2191.56666666667
Africa,Sub-Saharan Africa,2012,Coal,246624
Africa,Sub-Saharan Africa,2012,Hydro,93012.319
Africa,Sub-Saharan Africa,2012,Natural gas,35429.64103
Africa,Sub-Saharan Africa,2012,Nuclear,11954
Africa,Sub-Saharan Africa,2012,Oil,20615.7139997778
Africa,Sub-Saharan Africa,2012,"Solar, wind and other sources",1945.196
Africa,Sub-Saharan Africa,2013,Biofuels and waste,2265.06666666667
Africa,Sub-Saharan Africa,2013,Coal,244073.928
Africa,Sub-Saharan Africa,2013,Hydro,96807.351
Africa,Sub-Saharan Africa,2013,Natural gas,37423.195044
Africa,Sub-Saharan Africa,2013,Nuclear,14106
Africa,Sub-Saharan Africa,2013,Oil,23534.7334554445
Africa,Sub-Saharan Africa,2013,"Solar, wind and other sources",2558.797
Africa,Sub-Saharan Africa,2014,Biofuels and waste,2357.431111
Africa,Sub-Saharan Africa,2014,Coal,240287.218
Africa,Sub-Saharan Africa,2014,Hydro,101378.661
Africa,Sub-Saharan Africa,2014,Natural gas,43483.6333333333
Africa,Sub-Saharan Africa,2014,Nuclear,13794
Africa,Sub-Saharan Africa,2014,Oil,24379.9269993333
Africa,Sub-Saharan Africa,2014,"Solar, wind and other sources",5992.286
Africa,Sub-Saharan Africa,2015,Biofuels and waste,2362.588889
Africa,Sub-Saharan Africa,2015,Coal,237339.647
Africa,Sub-Saharan Africa,2015,Hydro,98878.064
Africa,Sub-Saharan Africa,2015,Natural gas,49016.3893888889
Africa,Sub-Saharan Africa,2015,Nuclear,12237
Africa,Sub-Saharan Africa,2015,Oil,24861.616833
Africa,Sub-Saharan Africa,2015,"Solar, wind and other sources",10744.542
Africa,Sub-Saharan Africa,2016,Biofuels and waste,2769.738889
Africa,Sub-Saharan Africa,2016,Coal,233056.145889
Africa,Sub-Saharan Africa,2016,Hydro,100372.661
Africa,Sub-Saharan Africa,2016,Natural gas,52618.8334633333
Africa,Sub-Saharan Africa,2016,Nuclear,15913
Africa,Sub-Saharan Africa,2016,Oil,30745.4651335556
Africa,Sub-Saharan Africa,2016,"Solar, wind and other sources",12738.031
Africa,Sub-Saharan Africa,2017,Biofuels and waste,2874.697556
Africa,Sub-Saharan Africa,2017,Coal,237010.329222333
Africa,Sub-Saharan Africa,2017,Hydro,105300.067
Africa,Sub-Saharan Africa,2017,Natural gas,50999.543
Africa,Sub-Saharan Africa,2017,Nuclear,15743
Africa,Sub-Saharan Africa,2017,Oil,26776.0373451111
Africa,Sub-Saharan Africa,2017,"Solar, wind and other sources",15265.576
Africa,Sub-Saharan Africa,2018,Biofuels and waste,3810.822333
Africa,Sub-Saharan Africa,2018,Coal,238868.732666667
Africa,Sub-Saharan Africa,2018,Hydro,113152.691
Africa,Sub-Saharan Africa,2018,Natural gas,54673.2771111111
Africa,Sub-Saharan Africa,2018,Nuclear,11580
Africa,Sub-Saharan Africa,2018,Oil,25333.4607776667
Africa,Sub-Saharan Africa,2018,"Solar, wind and other sources",18030.787
Africa,Sub-Saharan Africa,2019,Biofuels and waste,2778.234
Africa,Sub-Saharan Africa,2019,Coal,232135.515
Africa,Sub-Saharan Africa,2019,Hydro,115047.676
Africa,Sub-Saharan Africa,2019,Natural gas,58662.128
Africa,Sub-Saharan Africa,2019,Nuclear,13252
Africa,Sub-Saharan Africa,2019,Oil,24701.39
Africa,Sub-Saharan Africa,2019,"Solar, wind and other sources",20457.97
Americas,Latin America and the Caribbean,1990,Biofuels and waste,8295.6
Americas,Latin America and the Caribbean,1990,Coal,23464
Americas,Latin America and the Caribbean,1990,Hydro,387161.2
Americas,Latin America and the Caribbean,1990,Natural gas,59497.84964
Americas,Latin America and the Caribbean,1990,Nuclear,12455
Americas,Latin America and the Caribbean,1990,Oil,127744.302572
Americas,Latin America and the Caribbean,1990,"Solar, wind and other sources",5946
Americas,Latin America and the Caribbean,1991,Biofuels and waste,8888.26
Americas,Latin America and the Caribbean,1991,Coal,24364
Americas,Latin America and the Caribbean,1991,Hydro,408750.6
