,series_id,name,iso,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INTL.26-4-ARG-BCF.A,"Dry natural gas exports, Argentina, Annual",ARG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,24,44,120,148,209,206,228,274,245,217,91,34,31,15,7.1,3.5,3.1,2.5,2.8,2.8,2.7,9.5,24,,
0,INTL.26-4-PER-BCF.A,"Dry natural gas exports, Peru, Annual",PER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,199,185,183,185,171,202,194,178,192,,
0,INTL.26-4-HUN-BCF.A,"Dry natural gas exports, Hungary, Annual",HUN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3,5.3,0,0,0,0,0,(s),0.2,2.8,0.1,0,0,0,0,0.2,0.7,0.8,3,8,20,29,52,26,19,38,124,176,246,133,
0,INTL.26-4-IDN-BCF.A,"Dry natural gas exports, Indonesia, Annual",IDN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972,1049,1117,1123,1241,1176,1246,1246,1286,1382,1279,1162,1266,1384,1353,1282,1207,1296,1272,1212,1457,1373,1241,1117,1121,1070,1053,1052,1011,864,845,
0,INTL.26-4-ARM-BCF.A,"Dry natural gas exports, Armenia, Annual",ARM,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-ASM-BCF.A,"Dry natural gas exports, American Samoa, Annual",ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-SRB-BCF.A,"Dry natural gas exports, Serbia, Annual",SRB,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-SSD-BCF.A,"Dry natural gas exports, South Sudan, Annual",SSD,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-STP-BCF.A,"Dry natural gas exports, Sao Tome and Principe, Annual",STP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-SUN-BCF.A,"Dry natural gas exports, Former U.S.S.R., Annual",SUN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3935,3748,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,INTL.26-4-SUR-BCF.A,"Dry natural gas exports, Suriname, Annual",SUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-SVK-BCF.A,"Dry natural gas exports, Slovakia, Annual",SVK,--,--,--,--,--,--,--,--,--,--,--,--,--,0.5,4.8,0,0,0,0,0,0,0,0,0.1,(s),13,20,6.4,6.6,0.5,0,0.1,1.7,0.5,0.1,0,0,0,0,0,0,
0,INTL.26-4-SVN-BCF.A,"Dry natural gas exports, Slovenia, Annual",SVN,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,
0,INTL.26-4-SWE-BCF.A,"Dry natural gas exports, Sweden, Annual",SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,1.1,1.2,
0,INTL.26-4-SWZ-BCF.A,"Dry natural gas exports, Eswatini, Annual",SWZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-SYC-BCF.A,"Dry natural gas exports, Seychelles, Annual",SYC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INTL.26-4-SYR-BCF.A,"Dry natural gas exports, Syria, Annual",SYR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
